headline,article_url,article_text,keyword
,,"Martin Parkinson, head of the prime minister’s department, will coordinate the government’s long-awaited tax package after a poor start to the election year ",
Republican debate: Cruz and Rubio seek to take Trump down,http://www.theguardian.com/us-news/live/2016/feb/25/republican-debate-trump-cruz-rubio-live-houston-super-tuesday,Live coverage of the 10th Republican debate with Carson and Kasich also on stage as Super Tuesday looms,
The questions George Pell must answer,http://www.theguardian.com/australia-news/2016/feb/26/the-cardinal-and-the-royal-commission-the-questions-george-pell-must-answer,His appearance before the child sex abuse commission on Monday is a last chance to make sense of conflicting accounts of his handling of the paedophile scandal,The cardinal and the commission
Coalition moves to abandon review of Northern Territory intervention policy,http://www.theguardian.com/australia-news/2016/feb/26/coalition-moves-to-abandon-review-of-northern-territory-intervention-policy,Greens accuse federal government of reneging on its commitment and is concerned any chance to rethink the controversial legislation will be lost,Stronger Futures Act
"Workplace shooting leaves several people dead, including gunman",http://www.theguardian.com/us-news/2016/feb/25/kansas-shooting-excel-industries-hesston-wichita,,Kansas
Samuel Johnson quits acting to focus on campaigning,http://www.theguardian.com/tv-and-radio/2016/feb/26/samuel-johnson-quits-acting-to-focus-on-campaigning-for-cancer-research,,Cancer research
China expresses 'concern and dissatisfaction',http://www.theguardian.com/world/2016/feb/26/china-expresses-dissatisfaction-at-australias-defence-white-paper,,Defence white paper
Infant dies after alleged assault by father,http://www.theguardian.com/australia-news/2016/feb/26/infant-dies-after-alleged-assault-by-father,,Tasmania
Trio charged after posting videos of pranks online,http://www.theguardian.com/australia-news/2016/feb/26/melbourne-trio-charged-after-posting-videos-of-pranks-online,,Melbourne
Electricity price rise likely after tribunal overturns regulated cuts,http://www.theguardian.com/business/2016/feb/26/electricity-price-rise-likely-in-nsw-after-tribunal-overturns-regulated-cuts,,NSW
Australia's biggest banks pump billions into fossil fuels despite climate pledges,http://www.theguardian.com/environment/2016/feb/26/australias-biggest-banks-pump-billions-into-fossil-fuels-despite-climate-pledges,,Coal rush
Tasmania's bushfires: a human-made calamity on par with the razing of Palmyra's temples,http://www.theguardian.com/australia-news/2016/feb/26/tasmanias-bushfires-a-human-made-calamity-on-par-with-the-razing-of-palmyras-temples,"As 1,000-year-old trees turn to ash, the devastation of these precious plains is a harbinger of a warmer, far less wonderful world",
Matilda Emily van Egmond aims for World Cup glory,http://www.theguardian.com/football/blog/2016/feb/26/australians-abroad-matilda-emily-van-egmond-making-a-mark-in-europe,"One of only two Matildas players plying their trade in Europe, FFC Frankfurt star Emily van Egmond is targeting Olympic gold and World Cup glory for Australia",Australians Abroad
"The higher up the ASX 200, the more important diversity is",http://www.theguardian.com/sustainable-business/2016/feb/26/paul-zahra-the-higher-up-the-asx-200-the-more-important-diversity-is,"Diversity attracts talent, increases productivity and reduces costs, so why are companies still performing so poorly, asks Australia’s first openly gay CEO ",Australia’s first openly gay CEO
Rare Eddie surf competition draws thousands in Oahu,http://www.theguardian.com/sport/2016/feb/25/rare-eddie-aikau-surf-competition-oahu,"World class surfers are in Hawaii to ride the famously dangerous surf at the Eddie Aikau surf competition, where crowds are expected to exceed 30,000",'Biggest in 40 years'
What his first 100 days in office would look like,http://www.theguardian.com/us-news/2016/feb/25/us-president-donald-trump-first-100-days-election-2016,,President Trump
Why I don't use heroin,http://www.theguardian.com/society/2016/feb/25/by-understanding-why-people-use-drugs-i-now-know-why-i-dont-use-them,,Society and pain
Canadian sailor shares historic kiss with same-sex partner,http://www.theguardian.com/world/video/2016/feb/25/canada-sailor-historic-kiss-same-sex-partner-video,,Homecoming
Users swipe right most on pilots and physical therapists,http://www.theguardian.com/technology/2016/feb/25/tinder-users-swipe-right-on-pilots,,Tinder
Rashford at the double as United go through,http://www.theguardian.com/football/2016/feb/25/manchester-united-midtjylland-europa-league-match-report,,Europa League
Fifa election ripples to be felt in Australia,http://www.theguardian.com/sport/2016/feb/26/friday-focus-fifa-australia,,Friday Focus
Top draft pick Jacob Weitering set to debut for struggling Blues,http://www.theguardian.com/sport/2016/feb/26/top-draft-pick-jacob-weitering-set-to-debut-for-afl-strugglers-carlton,,AFL
ICC ponders two divisions for Test cricket in radical shake-up,http://www.theguardian.com/sport/2016/feb/25/icc-test-cricket-two-divisions-shake-up,,Exclusive
Australian among tournament's first ever female umpires,http://www.theguardian.com/sport/2016/feb/26/australian-among-the-first-ever-female-umpiring-appointments-for-world-t20,,World T20
Kyrgios to face Wawrinka for first time since sledging incident,http://www.theguardian.com/sport/2016/feb/26/kyrgios-and-wawrinka-to-face-off-for-first-time-since-sledging-incident,,Tennis
Liverpool edge past Augsburg thanks to Milner penalty,http://www.theguardian.com/football/2016/feb/25/liverpool-augsburg-europa-league-match-report,,Europa League
Curry ties record by making three-pointer in 127th straight game,http://www.theguardian.com/sport/2016/feb/25/stephen-curry-nba-record-three-pointer-consecutive-game,,NBA
Defence white paper: how many billions is enough to keep Australia safe?,http://www.theguardian.com/commentisfree/2016/feb/26/defence-white-paper-how-many-billions-is-enough-to-keep-australia-safe,"The world is not completely Hobbesian, but there are enough points of concern for this defence white paper to be considered well argued ",
How Obama gave us Donald Trump,http://www.theguardian.com/commentisfree/2016/feb/25/barack-obama-donald-trump-us-election-american-politics,"Just as Barack Obama was the reaction to George W Bush in 2008, Donald Trump is looking more and more like a reaction to Obama’s presidency",
